26 三月 2019 | 14:08:55,341 | DEBUG | XNIO-3 task-3 | undertow.request.security |     | Authentication result was ATTEMPTED for /user/page/pageQuery
26 三月 2019 | 14:09:55,386 | DEBUG | XNIO-3 I/O-2 | io.undertow.request |     | Timing out idle connection from /127.0.0.1:14753
26 三月 2019 | 14:09:55,566 | DEBUG | XNIO-3 I/O-8 | io.undertow.request |     | Timing out idle connection from /127.0.0.1:14751
26 三月 2019 | 14:19:30,228 | INFO  | HotSwapWatcher | druid.pool.DruidDataSource |     | {dataSource-3} closed
26 三月 2019 | 14:19:30,231 | DEBUG | HotSwapWatcher | io.undertow |     | stopping undertow server io.undertow.Undertow@281040db
26 三月 2019 | 14:19:30,253 | DEBUG | HotSwapWatcher | io.undertow.session |     | Setting default session timeout to 1800
26 三月 2019 | 14:19:30,253 | DEBUG | HotSwapWatcher | io.undertow.session |     | Registered session listener io.undertow.servlet.core.SessionListenerBridge@37590ed4
26 三月 2019 | 14:19:30,329 | INFO  | HotSwapWatcher | druid.pool.DruidDataSource |     | {dataSource-4} inited
26 三月 2019 | 14:19:30,368 | DEBUG | HotSwapWatcher | io.undertow |     | starting undertow server io.undertow.Undertow@171bd704
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-1 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-1', selector sun.nio.ch.WindowsSelectorImpl@25371d7b
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 Accept | org.xnio.nio |     | Started channel thread 'XNIO-4 Accept', selector sun.nio.ch.WindowsSelectorImpl@37d23b0e
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-6 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-6', selector sun.nio.ch.WindowsSelectorImpl@2df889ca
26 三月 2019 | 14:19:30,373 | DEBUG | HotSwapWatcher | io.undertow |     | Configuring listener with protocol HTTP for interface localhost and port 80
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-5 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-5', selector sun.nio.ch.WindowsSelectorImpl@69afbc5a
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-2 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-2', selector sun.nio.ch.WindowsSelectorImpl@4f8d33a2
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-4 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-4', selector sun.nio.ch.WindowsSelectorImpl@710d81fe
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-3 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-3', selector sun.nio.ch.WindowsSelectorImpl@3157b047
